rd_wr,period,osc_set,count,div,period_delta,cycles,vgen,Fail Count,Instance,Lot Bin Wafer,Part Number,Temp,Date
0,6.000,28,2,0,0.057,50000,23,1,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.019,50000,23,1,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,12,4,0,0.001,50000,25,8,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,5,4,0,0.013,50000,25,7,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,24,3,0,0.022,50000,25,3,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.001,50000,25,8,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.002,50000,25,1,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.037,50000,25,12,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,6,4,0,0.008,50000,25,3,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,5,4,0,0.002,50000,25,4,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,0,7,0,0.036,100000,27,55,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,24,3,0,0.008,100000,27,41,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,23,2,0,0.037,100000,27,24,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.091,100000,27,47,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,25,3,0,0.043,100000,27,17,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,12,4,0,0.018,100000,27,59,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.036,100000,27,16,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.006,100000,27,14,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,7,4,0,0.019,100000,23,8,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.009,100000,23,2,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,27,2,0,0.034,100000,23,1,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.024,100000,23,3,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,25,3,0,0.021,100000,23,1,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.054,100000,23,6,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.042,100000,23,1,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,25,3,0,0.058,100000,23,3,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,17,4,0,0.015,100000,25,11,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,23,2,0,0.045,100000,25,12,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,0,6,0,0.010,100000,25,8,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.013,100000,25,13,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.000,100000,25,3,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.025,100000,25,14,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.006,100000,25,3,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,15,3,0,0.045,100000,25,5,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,0,7,0,0.010,200000,27,69,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.044,200000,27,59,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,11,4,0,0.044,200000,27,52,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,25,3,0,0.026,200000,27,78,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,10,5,0,0.041,200000,27,24,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,1,6,0,0.043,200000,27,72,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,25,3,0,0.022,200000,27,32,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,25,3,0,0.026,200000,27,20,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,0,7,0,0.017,200000,23,11,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,24,3,0,0.005,200000,23,3,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,11,4,0,0.008,200000,23,3,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.004,200000,23,5,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.047,200000,23,1,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,1,6,0,0.047,200000,23,12,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,25,3,0,0.058,200000,23,2,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.006,200000,23,3,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,20,3,0,0.009,200000,25,18,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,0,6,0,0.038,200000,25,22,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,11,4,0,0.057,200000,25,17,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.002,200000,25,31,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,12,4,0,0.037,200000,25,5,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,15,3,0,0.021,200000,25,16,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,15,3,0,0.035,200000,25,8,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,1,6,0,0.052,200000,25,5,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,12,4,0,0.006,500000,27,104,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,24,3,0,0.049,500000,27,92,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,27,2,0,0.009,500000,27,76,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.008,500000,27,108,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.043,500000,27,29,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.069,500000,27,134,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,12,4,0,0.014,500000,27,65,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,12,4,0,0.010,500000,27,35,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,4,5,0,0.001,500000,23,19,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.045,500000,23,6,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,5,4,0,0.035,500000,23,3,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,6,4,0,0.018,500000,23,10,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.008,500000,23,3,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.051,500000,23,22,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.047,500000,23,2,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,29,2,0,0.019,500000,23,5,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,4,5,0,0.004,500000,25,31,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.012,500000,25,28,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,23,2,0,0.024,500000,25,22,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.014,500000,25,40,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.013,500000,25,6,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,1,6,0,0.061,500000,25,25,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,6,4,0,0.004,500000,25,19,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.009,500000,25,14,7,P9HK27_0p_15,P0003,085C,220414
