Lot_Bin_Wafer,part,instance,temp,date,block,lfo_ovr,Vdd,rd_vbl,pattern,idd/bit,idd18/bit,safv,rd_count,osc_setting,osc_delta,rd_delay,err_cnt,ppm
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,219.95,-1.92,0x09,0x02,0x03,0.0023,3.50,33.00,12.911283052884615
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,219.95,-1.92,0x09,0x01,0x1a,0.0136,3.75,16.00,6.2600160256410255
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,219.95,-1.92,0x09,0x03,0x02,0.0011,4.00,10.00,3.912510016025641
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,219.95,-1.92,0x09,0x04,0x00,0.0001,4.50,7.00,2.738757011217949
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,219.95,-1.92,0x09,0x04,0x02,0.0156,5.00,3.00,1.1737530048076923
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,219.95,-1.92,0x09,0x03,0x0e,0.0496,6.00,1.00,0.3912510016025641
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,219.95,-1.92,0x09,0x03,0x14,0.0247,7.00,1.00,0.3912510016025641
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,219.95,-1.92,0x09,0x05,0x10,0.0392,8.00,1.00,0.3912510016025641
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,219.95,-1.92,0x09,0x06,0x11,0.0199,10.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,22.84,1.52,0x01,0x02,0x0a,0.0063,3.50,32.00,12.520032051282051
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,22.84,1.52,0x01,0x01,0x15,0.0059,3.75,14.00,5.477514022435898
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,22.84,1.52,0x01,0x02,0x10,0.0056,4.00,14.00,5.477514022435898
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,22.84,1.52,0x01,0x03,0x0a,0.0239,4.50,3.00,1.1737530048076923
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,22.84,1.52,0x01,0x02,0x13,0.0114,5.00,2.00,0.7825020032051282
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,22.84,1.52,0x01,0x03,0x0e,0.0105,6.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,22.84,1.52,0x01,0x03,0x14,0.0371,7.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,22.84,1.52,0x01,0x05,0x10,0.0004,8.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,22.84,1.52,0x01,0x05,0x18,0.1342,10.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,32.21,6.09,0x03,0x02,0x0a,0.0063,3.50,17.00,6.651267027243589
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,32.21,6.09,0x03,0x01,0x15,0.0059,3.75,9.00,3.5212590144230766
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,32.21,6.09,0x03,0x02,0x10,0.0056,4.00,7.00,2.738757011217949
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,32.21,6.09,0x03,0x03,0x0a,0.0239,4.50,3.00,1.1737530048076923
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,32.21,6.09,0x03,0x02,0x13,0.0114,5.00,2.00,0.7825020032051282
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,32.21,6.09,0x03,0x03,0x0e,0.0105,6.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,32.21,6.09,0x03,0x03,0x14,0.0371,7.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,32.21,6.09,0x03,0x05,0x10,0.0004,8.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,32.21,6.09,0x03,0x05,0x18,0.1342,10.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,31.65,0.64,0x05,0x02,0x0a,0.0063,3.50,14.00,5.477514022435898
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,31.65,0.64,0x05,0x01,0x15,0.0059,3.75,6.00,2.3475060096153846
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,31.65,0.64,0x05,0x02,0x10,0.0056,4.00,6.00,2.3475060096153846
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,31.65,0.64,0x05,0x03,0x0a,0.0239,4.50,2.00,0.7825020032051282
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,31.65,0.64,0x05,0x02,0x13,0.0114,5.00,1.00,0.3912510016025641
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,31.65,0.64,0x05,0x03,0x0e,0.0105,6.00,1.00,0.3912510016025641
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,31.65,0.64,0x05,0x03,0x14,0.0371,7.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,31.65,0.64,0x05,0x05,0x10,0.0004,8.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,31.65,0.64,0x05,0x05,0x18,0.1342,10.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,32.93,4.25,0x07,0x02,0x0a,0.0063,3.50,11.00,4.303761017628205
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,32.93,4.25,0x07,0x01,0x15,0.0059,3.75,7.00,2.738757011217949
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,32.93,4.25,0x07,0x02,0x10,0.0056,4.00,5.00,1.9562550080128205
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,32.93,4.25,0x07,0x03,0x0a,0.0239,4.50,2.00,0.7825020032051282
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,32.93,4.25,0x07,0x02,0x13,0.0114,5.00,1.00,0.3912510016025641
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,32.93,4.25,0x07,0x03,0x0e,0.0105,6.00,1.00,0.3912510016025641
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,32.93,4.25,0x07,0x03,0x14,0.0371,7.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,32.93,4.25,0x07,0x05,0x10,0.0004,8.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,32.93,4.25,0x07,0x05,0x18,0.1342,10.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,39.82,8.89,0x09,0x02,0x0a,0.0063,3.50,17.00,6.651267027243589
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,39.82,8.89,0x09,0x01,0x15,0.0059,3.75,8.00,3.1300080128205128
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,39.82,8.89,0x09,0x02,0x10,0.0056,4.00,8.00,3.1300080128205128
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,39.82,8.89,0x09,0x03,0x0a,0.0239,4.50,5.00,1.9562550080128205
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,39.82,8.89,0x09,0x02,0x13,0.0114,5.00,1.00,0.3912510016025641
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,39.82,8.89,0x09,0x03,0x0e,0.0105,6.00,1.00,0.3912510016025641
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,39.82,8.89,0x09,0x03,0x14,0.0371,7.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,39.82,8.89,0x09,0x05,0x10,0.0004,8.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.800,0x0f,zeros,39.82,8.89,0x09,0x05,0x18,0.1342,10.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-135.50,1.20,0x01,0x02,0x04,0.0516,3.50,39.00,15.2587890625
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-135.50,1.20,0x01,0x01,0x1a,0.0133,3.75,18.00,7.042518028846153
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-135.50,1.20,0x01,0x01,0x1b,0.0054,4.00,8.00,3.1300080128205128
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-135.50,1.20,0x01,0x02,0x12,0.0046,4.50,3.00,1.1737530048076923
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-135.50,1.20,0x01,0x03,0x0b,0.0041,5.00,2.00,0.7825020032051282
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-135.50,1.20,0x01,0x03,0x12,0.0003,6.00,1.00,0.3912510016025641
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-135.50,1.20,0x01,0x06,0x02,0.0355,7.00,1.00,0.3912510016025641
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-135.50,1.20,0x01,0x07,0x02,0.0380,8.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-135.50,1.20,0x01,0x03,0x1e,0.0056,10.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-130.93,1.44,0x03,0x02,0x04,0.0516,3.50,11.00,4.303761017628205
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-130.93,1.44,0x03,0x01,0x1a,0.0133,3.75,4.00,1.5650040064102564
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-130.93,1.44,0x03,0x01,0x1b,0.0054,4.00,3.00,1.1737530048076923
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-130.93,1.44,0x03,0x02,0x12,0.0046,4.50,3.00,1.1737530048076923
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-130.93,1.44,0x03,0x03,0x0b,0.0041,5.00,2.00,0.7825020032051282
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-130.93,1.44,0x03,0x03,0x12,0.0003,6.00,1.00,0.3912510016025641
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-130.93,1.44,0x03,0x06,0x02,0.0355,7.00,1.00,0.3912510016025641
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-130.93,1.44,0x03,0x07,0x02,0.0380,8.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-130.93,1.44,0x03,0x03,0x1e,0.0056,10.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-133.73,1.36,0x05,0x02,0x04,0.0516,3.50,8.00,3.1300080128205128
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-133.73,1.36,0x05,0x01,0x1a,0.0133,3.75,4.00,1.5650040064102564
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-133.73,1.36,0x05,0x01,0x1b,0.0054,4.00,3.00,1.1737530048076923
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-133.73,1.36,0x05,0x02,0x12,0.0046,4.50,2.00,0.7825020032051282
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-133.73,1.36,0x05,0x03,0x0b,0.0041,5.00,1.00,0.3912510016025641
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-133.73,1.36,0x05,0x03,0x12,0.0003,6.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-133.73,1.36,0x05,0x06,0x02,0.0355,7.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-133.73,1.36,0x05,0x07,0x02,0.0380,8.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-133.73,1.36,0x05,0x03,0x1e,0.0056,10.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-125.64,0.64,0x07,0x02,0x04,0.0516,3.50,11.00,4.303761017628205
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-125.64,0.64,0x07,0x01,0x1a,0.0133,3.75,5.00,1.9562550080128205
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-125.64,0.64,0x07,0x01,0x1b,0.0054,4.00,4.00,1.5650040064102564
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-125.64,0.64,0x07,0x02,0x12,0.0046,4.50,2.00,0.7825020032051282
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-125.64,0.64,0x07,0x03,0x0b,0.0041,5.00,1.00,0.3912510016025641
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-125.64,0.64,0x07,0x03,0x12,0.0003,6.00,1.00,0.3912510016025641
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-125.64,0.64,0x07,0x06,0x02,0.0355,7.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-125.64,0.64,0x07,0x07,0x02,0.0380,8.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-125.64,0.64,0x07,0x03,0x1e,0.0056,10.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-116.67,8.09,0x09,0x02,0x04,0.0516,3.50,9.00,3.5212590144230766
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-116.67,8.09,0x09,0x01,0x1a,0.0133,3.75,3.00,1.1737530048076923
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-116.67,8.09,0x09,0x01,0x1b,0.0054,4.00,3.00,1.1737530048076923
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-116.67,8.09,0x09,0x02,0x12,0.0046,4.50,2.00,0.7825020032051282
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-116.67,8.09,0x09,0x03,0x0b,0.0041,5.00,1.00,0.3912510016025641
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-116.67,8.09,0x09,0x03,0x12,0.0003,6.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-116.67,8.09,0x09,0x06,0x02,0.0355,7.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-116.67,8.09,0x09,0x07,0x02,0.0380,8.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.720,0x0f,zeros,-116.67,8.09,0x09,0x03,0x1e,0.0056,10.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,181.33,6.01,0x01,0x01,0x13,0.0104,3.50,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,181.33,6.01,0x01,0x01,0x15,0.0232,3.75,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,181.33,6.01,0x01,0x03,0x02,0.0213,4.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,181.33,6.01,0x01,0x04,0x00,0.0027,4.50,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,181.33,6.01,0x01,0x02,0x0f,0.0068,5.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,181.33,6.01,0x01,0x05,0x02,0.0135,6.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,181.33,6.01,0x01,0x03,0x13,0.0087,7.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,181.33,6.01,0x01,0x04,0x12,0.0726,8.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,181.33,6.01,0x01,0x06,0x11,0.1423,10.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,194.31,3.21,0x03,0x01,0x13,0.0104,3.50,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,194.31,3.21,0x03,0x01,0x15,0.0232,3.75,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,194.31,3.21,0x03,0x03,0x02,0.0213,4.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,194.31,3.21,0x03,0x04,0x00,0.0027,4.50,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,194.31,3.21,0x03,0x02,0x0f,0.0068,5.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,194.31,3.21,0x03,0x05,0x02,0.0135,6.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,194.31,3.21,0x03,0x03,0x13,0.0087,7.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,194.31,3.21,0x03,0x04,0x12,0.0726,8.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,194.31,3.21,0x03,0x06,0x11,0.1423,10.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,192.55,-1.52,0x05,0x01,0x13,0.0104,3.50,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,192.55,-1.52,0x05,0x01,0x15,0.0232,3.75,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,192.55,-1.52,0x05,0x03,0x02,0.0213,4.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,192.55,-1.52,0x05,0x04,0x00,0.0027,4.50,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,192.55,-1.52,0x05,0x02,0x0f,0.0068,5.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,192.55,-1.52,0x05,0x05,0x02,0.0135,6.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,192.55,-1.52,0x05,0x03,0x13,0.0087,7.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,192.55,-1.52,0x05,0x04,0x12,0.0726,8.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,192.55,-1.52,0x05,0x06,0x11,0.1423,10.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,201.52,0.96,0x07,0x01,0x13,0.0104,3.50,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,201.52,0.96,0x07,0x01,0x15,0.0232,3.75,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,201.52,0.96,0x07,0x03,0x02,0.0213,4.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,201.52,0.96,0x07,0x04,0x00,0.0027,4.50,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,201.52,0.96,0x07,0x02,0x0f,0.0068,5.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,201.52,0.96,0x07,0x05,0x02,0.0135,6.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,201.52,0.96,0x07,0x03,0x13,0.0087,7.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,201.52,0.96,0x07,0x04,0x12,0.0726,8.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,201.52,0.96,0x07,0x06,0x11,0.1423,10.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,ones,208.65,6.57,0x09,0x01,0x13,0.0104,3.50,0.00,0.0
