Vdd,Vdd18,sys_osc_trim,sys_clk_period[ns],sys_clk_freq[MHz],pre-bck_grd_iddw[mA],pre-bck_grd_idd18w[mA],Vwl,Vbl,write speed[ns],write-data,iddw[mA],idd18w[mA],Lot Bin Wafer,Part Number,Temp,Date
0.72,1.62,0x9f,4.957629,201.71,2.363125,3.292500,0x07,0x0f,60.00,solid0xff,2.583125,46.235001,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.964111,201.45,2.403750,3.279375,0x07,0x0f,80.00,ckbd-0xaa,2.588750,49.759373,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.964111,201.45,2.403750,3.279375,0x07,0x0f,80.00,solid0x00,2.530625,51.185627,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.964111,201.45,2.403750,3.279375,0x07,0x0f,80.00,solid0xff,2.476875,46.315628,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.985115,200.60,2.384375,3.275000,0x07,0x0f,100.00,ckbd-0xaa,2.620000,49.451252,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.985115,200.60,2.384375,3.275000,0x07,0x0f,100.00,solid0x00,2.608125,52.473125,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.985115,200.60,2.384375,3.275000,0x07,0x0f,100.00,solid0xff,2.532500,46.071873,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.983352,200.67,2.364375,3.240000,0x07,0x10,20.00,ckbd-0xaa,2.756250,46.894375,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.983352,200.67,2.364375,3.240000,0x07,0x10,20.00,solid0x00,2.676875,47.261253,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.983352,200.67,2.364375,3.240000,0x07,0x10,20.00,solid0xff,2.605000,45.443127,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.985401,200.59,2.383125,3.296875,0x07,0x10,25.00,ckbd-0xaa,2.763750,46.833122,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.985401,200.59,2.383125,3.296875,0x07,0x10,25.00,solid0x00,2.687500,47.761253,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.985401,200.59,2.383125,3.296875,0x07,0x10,25.00,solid0xff,2.573750,45.336250,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.992183,200.31,2.368125,3.289375,0x07,0x10,40.00,ckbd-0xaa,2.761875,48.151249,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.992183,200.31,2.368125,3.289375,0x07,0x10,40.00,solid0x00,2.647500,50.028126,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.992183,200.31,2.368125,3.289375,0x07,0x10,40.00,solid0xff,2.609375,45.642494,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.986121,200.56,2.391250,3.295625,0x07,0x10,60.00,ckbd-0xaa,2.604375,48.438751,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.986121,200.56,2.391250,3.295625,0x07,0x10,60.00,solid0x00,2.562500,51.434998,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.986121,200.56,2.391250,3.295625,0x07,0x10,60.00,solid0xff,2.503125,45.895622,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.982000,200.72,2.438125,3.308125,0x07,0x10,80.00,ckbd-0xaa,2.607500,48.921875,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.982000,200.72,2.438125,3.308125,0x07,0x10,80.00,solid0x00,2.583750,52.056252,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.982000,200.72,2.438125,3.308125,0x07,0x10,80.00,solid0xff,2.540625,46.198124,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.985686,200.57,2.359375,3.310000,0x07,0x10,100.00,ckbd-0xaa,2.628750,49.353752,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.985686,200.57,2.359375,3.310000,0x07,0x10,100.00,solid0x00,2.578125,52.944378,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.985686,200.57,2.359375,3.310000,0x07,0x10,100.00,solid0xff,2.538750,46.305000,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.893195,204.37,2.415625,3.328750,0x07,0x11,20.00,ckbd-0xaa,2.756250,46.773750,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.893195,204.37,2.415625,3.328750,0x07,0x11,20.00,solid0x00,2.676250,48.076256,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.893195,204.37,2.415625,3.328750,0x07,0x11,20.00,solid0xff,2.615625,45.459999,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.985930,200.56,2.385625,3.302500,0x07,0x11,25.00,ckbd-0xaa,2.708125,46.971245,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.985930,200.56,2.385625,3.302500,0x07,0x11,25.00,solid0x00,2.636250,48.538754,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.985930,200.56,2.385625,3.302500,0x07,0x11,25.00,solid0xff,2.553125,45.486874,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.946077,202.18,2.390625,3.291875,0x07,0x11,40.00,ckbd-0xaa,2.672500,47.961880,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.946077,202.18,2.390625,3.291875,0x07,0x11,40.00,solid0x00,2.607500,50.151878,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.946077,202.18,2.390625,3.291875,0x07,0x11,40.00,solid0xff,2.516875,45.843128,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.948222,202.09,2.391875,3.349375,0x07,0x11,60.00,ckbd-0xaa,2.630625,49.044380,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.948222,202.09,2.391875,3.349375,0x07,0x11,60.00,solid0x00,2.587500,51.528748,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.948222,202.09,2.391875,3.349375,0x07,0x11,60.00,solid0xff,2.549375,45.940628,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.976986,200.92,2.335000,3.285625,0x07,0x11,80.00,ckbd-0xaa,2.563750,49.281876,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.976986,200.92,2.335000,3.285625,0x07,0x11,80.00,solid0x00,2.578750,52.352501,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.976986,200.92,2.335000,3.285625,0x07,0x11,80.00,solid0xff,2.536250,46.316879,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.976561,200.94,2.382500,3.295625,0x07,0x11,100.00,ckbd-0xaa,2.545625,49.643120,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.976561,200.94,2.382500,3.295625,0x07,0x11,100.00,solid0x00,2.501875,53.814373,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.976561,200.94,2.382500,3.295625,0x07,0x11,100.00,solid0xff,2.509375,46.484371,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.974952,201.01,2.383750,3.326250,0x07,0x12,20.00,ckbd-0xaa,2.683125,46.841248,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.974952,201.01,2.383750,3.326250,0x07,0x12,20.00,solid0x00,2.633750,47.812500,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.974952,201.01,2.383750,3.326250,0x07,0x12,20.00,solid0xff,2.556875,45.248753,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.986887,200.53,2.406875,3.283750,0x07,0x12,25.00,ckbd-0xaa,2.728125,47.360001,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.986887,200.53,2.406875,3.283750,0x07,0x12,25.00,solid0x00,2.620625,48.551872,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.986887,200.53,2.406875,3.283750,0x07,0x12,25.00,solid0xff,2.568750,45.673748,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.978582,200.86,2.385000,3.292500,0x07,0x12,40.00,ckbd-0xaa,2.703750,48.548752,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.978582,200.86,2.385000,3.292500,0x07,0x12,40.00,solid0x00,2.616250,50.026253,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.978582,200.86,2.385000,3.292500,0x07,0x12,40.00,solid0xff,2.577500,46.107506,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.975588,200.98,2.360000,3.290625,0x07,0x12,60.00,ckbd-0xaa,2.626250,48.875629,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.975588,200.98,2.360000,3.290625,0x07,0x12,60.00,solid0x00,2.589375,51.531872,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.975588,200.98,2.360000,3.290625,0x07,0x12,60.00,solid0xff,2.551250,46.039375,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.956953,201.74,2.380625,3.325625,0x07,0x12,80.00,ckbd-0xaa,2.536250,49.791252,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.956953,201.74,2.380625,3.325625,0x07,0x12,80.00,solid0x00,2.495000,52.846874,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.956953,201.74,2.380625,3.325625,0x07,0x12,80.00,solid0xff,2.513750,46.457500,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.974019,201.04,2.345000,3.311250,0x07,0x12,100.00,ckbd-0xaa,2.560625,50.101250,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.974019,201.04,2.345000,3.311250,0x07,0x12,100.00,solid0x00,2.524375,52.861248,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.974019,201.04,2.345000,3.311250,0x07,0x12,100.00,solid0xff,2.481875,46.550003,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.968204,201.28,2.347500,3.308750,0x07,0x13,20.00,ckbd-0xaa,2.754375,46.635620,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.968204,201.28,2.347500,3.308750,0x07,0x13,20.00,solid0x00,2.683125,48.179375,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.968204,201.28,2.347500,3.308750,0x07,0x13,20.00,solid0xff,2.596875,45.511879,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.963291,201.48,2.369375,3.288125,0x07,0x13,25.00,ckbd-0xaa,2.737500,47.393749,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.963291,201.48,2.369375,3.288125,0x07,0x13,25.00,solid0x00,2.669375,48.600624,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.963291,201.48,2.369375,3.288125,0x07,0x13,25.00,solid0xff,2.568750,45.686253,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.982543,200.70,2.375000,3.307500,0x07,0x13,40.00,ckbd-0xaa,2.692500,48.288754,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.982543,200.70,2.375000,3.307500,0x07,0x13,40.00,solid0x00,2.611875,49.809376,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.982543,200.70,2.375000,3.307500,0x07,0x13,40.00,solid0xff,2.540000,45.971874,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.980221,200.79,2.380000,3.282500,0x07,0x13,60.00,ckbd-0xaa,2.626875,49.440624,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.980221,200.79,2.380000,3.282500,0x07,0x13,60.00,solid0x00,2.610000,50.453747,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.980221,200.79,2.380000,3.282500,0x07,0x13,60.00,solid0xff,2.544375,46.393745,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.972150,201.12,2.375625,3.315000,0x07,0x13,80.00,ckbd-0xaa,2.551875,50.223125,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.972150,201.12,2.375625,3.315000,0x07,0x13,80.00,solid0x00,2.561250,51.979378,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.972150,201.12,2.375625,3.315000,0x07,0x13,80.00,solid0xff,2.508125,46.629997,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.971933,201.13,2.396875,3.315625,0x07,0x13,100.00,ckbd-0xaa,2.624375,50.853752,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.971933,201.13,2.396875,3.315625,0x07,0x13,100.00,solid0x00,2.560000,52.292500,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.971933,201.13,2.396875,3.315625,0x07,0x13,100.00,solid0xff,2.551875,46.946251,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.988272,200.47,2.427500,3.293750,0x07,0x14,20.00,ckbd-0xaa,2.734375,47.121876,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.988272,200.47,2.427500,3.293750,0x07,0x14,20.00,solid0x00,2.663125,47.903755,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.988272,200.47,2.427500,3.293750,0x07,0x14,20.00,solid0xff,2.538750,45.806873,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.964800,201.42,2.343750,3.302500,0x07,0x14,25.00,ckbd-0xaa,2.716875,47.830624,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.964800,201.42,2.343750,3.302500,0x07,0x14,25.00,solid0x00,2.669375,48.477501,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.964800,201.42,2.343750,3.302500,0x07,0x14,25.00,solid0xff,2.561250,45.774376,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.978557,200.86,2.368125,3.287500,0x07,0x14,40.00,ckbd-0xaa,2.698750,48.623127,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.978557,200.86,2.368125,3.287500,0x07,0x14,40.00,solid0x00,2.586250,50.724998,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.978557,200.86,2.368125,3.287500,0x07,0x14,40.00,solid0xff,2.540000,45.864998,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.976548,200.94,2.368125,3.286875,0x07,0x14,60.00,ckbd-0xaa,2.644375,49.576252,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.976548,200.94,2.368125,3.286875,0x07,0x14,60.00,solid0x00,2.581250,51.906250,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.976548,200.94,2.368125,3.286875,0x07,0x14,60.00,solid0xff,2.495625,46.589375,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.903621,203.93,2.370000,3.264375,0x07,0x14,80.00,ckbd-0xaa,2.606250,50.628124,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.903621,203.93,2.370000,3.264375,0x07,0x14,80.00,solid0x00,2.543125,52.908752,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.903621,203.93,2.370000,3.264375,0x07,0x14,80.00,solid0xff,2.522500,46.658131,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.969768,201.22,2.357500,3.295000,0x07,0x14,100.00,ckbd-0xaa,2.576250,50.100002,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.969768,201.22,2.357500,3.295000,0x07,0x14,100.00,solid0x00,2.590000,53.921875,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.969768,201.22,2.357500,3.295000,0x07,0x14,100.00,solid0xff,2.503750,46.436874,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.981042,200.76,2.391875,3.277500,0x07,0x15,20.00,ckbd-0xaa,2.724375,47.344376,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.981042,200.76,2.391875,3.277500,0x07,0x15,20.00,solid0x00,2.672500,48.316254,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.981042,200.76,2.391875,3.277500,0x07,0x15,20.00,solid0xff,2.563750,45.863121,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.987203,200.51,2.333750,3.273750,0x07,0x15,25.00,ckbd-0xaa,2.766250,47.662495,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.987203,200.51,2.333750,3.273750,0x07,0x15,25.00,solid0x00,2.623125,49.230625,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.987203,200.51,2.333750,3.273750,0x07,0x15,25.00,solid0xff,2.613125,45.746872,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.982668,200.70,2.419375,3.304375,0x07,0x15,40.00,ckbd-0xaa,2.700000,48.719372,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.982668,200.70,2.419375,3.304375,0x07,0x15,40.00,solid0x00,2.616250,50.581249,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.982668,200.70,2.419375,3.304375,0x07,0x15,40.00,solid0xff,2.582500,46.439377,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.964372,201.44,2.344375,3.311875,0x07,0x15,60.00,ckbd-0xaa,2.666875,50.044376,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.964372,201.44,2.344375,3.311875,0x07,0x15,60.00,solid0x00,2.576875,52.074371,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.964372,201.44,2.344375,3.311875,0x07,0x15,60.00,solid0xff,2.525625,46.760002,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.974930,201.01,2.418750,3.326875,0x07,0x15,80.00,ckbd-0xaa,2.643125,50.308128,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.974930,201.01,2.418750,3.326875,0x07,0x15,80.00,solid0x00,2.604375,52.743126,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.974930,201.01,2.418750,3.326875,0x07,0x15,80.00,solid0xff,2.523750,46.998753,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.974673,201.02,2.361875,3.250000,0x07,0x15,100.00,ckbd-0xaa,2.523125,50.831253,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.974673,201.02,2.361875,3.250000,0x07,0x15,100.00,solid0x00,2.532500,53.004997,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.974673,201.02,2.361875,3.250000,0x07,0x15,100.00,solid0xff,2.445000,46.768753,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.970048,201.21,2.366250,3.285000,0x07,0x16,20.00,ckbd-0xaa,2.768125,47.113129,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.970048,201.21,2.366250,3.285000,0x07,0x16,20.00,solid0x00,2.665000,48.373753,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.970048,201.21,2.366250,3.285000,0x07,0x16,20.00,solid0xff,2.616250,45.726250,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.982718,200.69,2.374375,3.278125,0x07,0x16,25.00,ckbd-0xaa,2.728125,47.656254,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.982718,200.69,2.374375,3.278125,0x07,0x16,25.00,solid0x00,2.648750,48.871250,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.982718,200.69,2.374375,3.278125,0x07,0x16,25.00,solid0xff,2.599375,45.905003,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.964122,201.45,2.423750,3.305625,0x07,0x16,40.00,ckbd-0xaa,2.651250,49.173126,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.964122,201.45,2.423750,3.305625,0x07,0x16,40.00,solid0x00,2.585000,50.430000,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.964122,201.45,2.423750,3.305625,0x07,0x16,40.00,solid0xff,2.538750,46.501873,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.951446,201.96,2.406875,3.299375,0x07,0x16,60.00,ckbd-0xaa,2.646250,49.978123,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.951446,201.96,2.406875,3.299375,0x07,0x16,60.00,solid0x00,2.610625,51.113747,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.951446,201.96,2.406875,3.299375,0x07,0x16,60.00,solid0xff,2.534375,46.718758,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.959914,201.62,2.401250,3.284375,0x07,0x16,80.00,ckbd-0xaa,2.631875,50.443127,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.959914,201.62,2.401250,3.284375,0x07,0x16,80.00,solid0x00,2.607500,53.344379,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.959914,201.62,2.401250,3.284375,0x07,0x16,80.00,solid0xff,2.544375,46.825623,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.962488,201.51,2.328125,3.286250,0x07,0x16,100.00,ckbd-0xaa,2.593750,50.807499,P9KT98.AC_a_0,Q0128,25C,231205
