Lot_Bin_Wafer,part,instance,temp,date,Data,ivdd18/bit,ivdd/bit,VWL,Vwl(meas),VBL,Vbl(meas),PRG_CNT,PRG_Time,Pulse1,Pulse2,Pulse3,Pulse4,Pulse5,Pulse6,vdd
P9HK26_0J_05,P0010,0,025C,200618,0x00:,188.7821,1,0x000c,3.1060,0x000e,1.5375,0x07,20,0x0000007d,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,164.2628,1,0x000c,3.1060,0x000e,1.5375,0x07,20,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,188.7821,1,0x000c,3.1060,0x000e,1.5375,0x08,25,0x00000047,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,164.2628,1,0x000c,3.1060,0x000e,1.5375,0x08,25,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,188.7821,1,0x000c,3.1060,0x000e,1.5375,0x0a,30,0x0000001c,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,164.2628,1,0x000c,3.1060,0x000e,1.5375,0x0a,30,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,188.7821,1,0x000c,3.1060,0x000e,1.5375,0x0e,40,0x00000015,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,164.2628,1,0x000c,3.1060,0x000e,1.5375,0x0e,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,188.7821,1,0x000c,3.1060,0x000e,1.5375,0x13,55,0x00000004,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,164.2628,1,0x000c,3.1060,0x000e,1.5375,0x13,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,194.7115,1,0x000c,3.1060,0x000f,1.5375,0x07,20,0x0000005c,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,170.8333,1,0x000c,3.1060,0x000f,1.5375,0x07,20,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,194.7115,1,0x000c,3.1060,0x000f,1.5375,0x08,25,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,170.8333,1,0x000c,3.1060,0x000f,1.5375,0x08,25,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,194.7115,1,0x000c,3.1060,0x000f,1.5375,0x0a,30,0x00000019,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,170.8333,1,0x000c,3.1060,0x000f,1.5375,0x0a,30,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,194.7115,1,0x000c,3.1060,0x000f,1.5375,0x0e,40,0x0000000b,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,170.8333,1,0x000c,3.1060,0x000f,1.5375,0x0e,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,194.7115,1,0x000c,3.1060,0x000f,1.5375,0x13,55,0x00000006,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,170.8333,1,0x000c,3.1060,0x000f,1.5375,0x13,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,199.4391,1,0x000c,3.1060,0x0010,1.5380,0x07,20,0x00000023,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,176.5224,1,0x000c,3.1060,0x0010,1.5380,0x07,20,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,199.4391,1,0x000c,3.1060,0x0010,1.5380,0x08,25,0x0000001e,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,176.5224,1,0x000c,3.1060,0x0010,1.5380,0x08,25,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,199.4391,1,0x000c,3.1060,0x0010,1.5380,0x0a,30,0x00000012,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,176.5224,1,0x000c,3.1060,0x0010,1.5380,0x0a,30,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,199.4391,1,0x000c,3.1060,0x0010,1.5380,0x0e,40,0x00000008,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,176.5224,1,0x000c,3.1060,0x0010,1.5380,0x0e,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,199.4391,1,0x000c,3.1060,0x0010,1.5380,0x13,55,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,176.5224,1,0x000c,3.1060,0x0010,1.5380,0x13,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,196.3942,1,0x000c,3.1060,0x0011,1.5381,0x07,20,0x00000018,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,174.3590,1,0x000c,3.1060,0x0011,1.5381,0x07,20,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,196.3942,1,0x000c,3.1060,0x0011,1.5381,0x08,25,0x00000014,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,174.3590,1,0x000c,3.1060,0x0011,1.5381,0x08,25,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,196.3942,1,0x000c,3.1060,0x0011,1.5381,0x0a,30,0x0000000b,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,174.3590,1,0x000c,3.1060,0x0011,1.5381,0x0a,30,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,196.3942,1,0x000c,3.1060,0x0011,1.5381,0x0e,40,0x00000004,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,174.3590,1,0x000c,3.1060,0x0011,1.5381,0x0e,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,196.3942,1,0x000c,3.1060,0x0011,1.5381,0x13,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,174.3590,1,0x000c,3.1060,0x0011,1.5381,0x13,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,203.9263,1,0x000c,3.1060,0x0012,1.5379,0x07,20,0x0000000f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,190.3846,1,0x000c,3.1060,0x0012,1.5379,0x07,20,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,203.9263,1,0x000c,3.1060,0x0012,1.5379,0x08,25,0x0000000c,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,190.3846,1,0x000c,3.1060,0x0012,1.5379,0x08,25,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,203.9263,1,0x000c,3.1060,0x0012,1.5379,0x0a,30,0x00000003,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,190.3846,1,0x000c,3.1060,0x0012,1.5379,0x0a,30,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,203.9263,1,0x000c,3.1060,0x0012,1.5379,0x0e,40,0x00000003,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,190.3846,1,0x000c,3.1060,0x0012,1.5379,0x0e,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,203.9263,1,0x000c,3.1060,0x0012,1.5379,0x13,55,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,190.3846,1,0x000c,3.1060,0x0012,1.5379,0x13,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,210.7372,1,0x000c,3.1060,0x0013,1.5381,0x07,20,0x0000000d,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,195.7532,1,0x000c,3.1060,0x0013,1.5381,0x07,20,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,210.7372,1,0x000c,3.1060,0x0013,1.5381,0x08,25,0x00000003,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,195.7532,1,0x000c,3.1060,0x0013,1.5381,0x08,25,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,210.7372,1,0x000c,3.1060,0x0013,1.5381,0x0a,30,0x00000003,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,195.7532,1,0x000c,3.1060,0x0013,1.5381,0x0a,30,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,210.7372,1,0x000c,3.1060,0x0013,1.5381,0x0e,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,195.7532,1,0x000c,3.1060,0x0013,1.5381,0x0e,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,210.7372,1,0x000c,3.1060,0x0013,1.5381,0x13,55,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,195.7532,1,0x000c,3.1060,0x0013,1.5381,0x13,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,215.7852,1,0x000c,3.1060,0x0014,1.5383,0x07,20,0x00000005,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,199.9199,1,0x000c,3.1060,0x0014,1.5383,0x07,20,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,215.7852,1,0x000c,3.1060,0x0014,1.5383,0x08,25,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,199.9199,1,0x000c,3.1060,0x0014,1.5383,0x08,25,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,215.7852,1,0x000c,3.1060,0x0014,1.5383,0x0a,30,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,199.9199,1,0x000c,3.1060,0x0014,1.5383,0x0a,30,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,215.7852,1,0x000c,3.1060,0x0014,1.5383,0x0e,40,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,199.9199,1,0x000c,3.1060,0x0014,1.5383,0x0e,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,215.7852,1,0x000c,3.1060,0x0014,1.5383,0x13,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,199.9199,1,0x000c,3.1060,0x0014,1.5383,0x13,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,177.3237,1,0x000e,3.0840,0x000c,1.5389,0x07,20,0x0000010a,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,150.6410,1,0x000e,3.0840,0x000c,1.5389,0x07,20,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,177.3237,1,0x000e,3.0840,0x000c,1.5389,0x08,25,0x000000b5,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,150.6410,1,0x000e,3.0840,0x000c,1.5389,0x08,25,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,177.3237,1,0x000e,3.0840,0x000c,1.5389,0x0a,30,0x00000063,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,150.6410,1,0x000e,3.0840,0x000c,1.5389,0x0a,30,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,177.3237,1,0x000e,3.0840,0x000c,1.5389,0x0e,40,0x0000002c,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,150.6410,1,0x000e,3.0840,0x000c,1.5389,0x0e,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,177.3237,1,0x000e,3.0840,0x000c,1.5389,0x13,55,0x0000000d,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,150.6410,1,0x000e,3.0840,0x000c,1.5389,0x13,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,186.5385,1,0x000e,3.0840,0x000d,1.5383,0x07,20,0x000000db,0x00000003,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,160.3365,1,0x000e,3.0840,0x000d,1.5383,0x07,20,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,186.5385,1,0x000e,3.0840,0x000d,1.5383,0x08,25,0x00000071,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,160.3365,1,0x000e,3.0840,0x000d,1.5383,0x08,25,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,186.5385,1,0x000e,3.0840,0x000d,1.5383,0x0a,30,0x0000003f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,160.3365,1,0x000e,3.0840,0x000d,1.5383,0x0a,30,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,186.5385,1,0x000e,3.0840,0x000d,1.5383,0x0e,40,0x0000001d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,160.3365,1,0x000e,3.0840,0x000d,1.5383,0x0e,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,186.5385,1,0x000e,3.0840,0x000d,1.5383,0x13,55,0x0000000c,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,160.3365,1,0x000e,3.0840,0x000d,1.5383,0x13,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,189.8237,1,0x000e,3.0840,0x000e,1.5375,0x07,20,0x0000008a,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,166.3462,1,0x000e,3.0840,0x000e,1.5375,0x07,20,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,189.8237,1,0x000e,3.0840,0x000e,1.5375,0x08,25,0x0000005b,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,166.3462,1,0x000e,3.0840,0x000e,1.5375,0x08,25,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,189.8237,1,0x000e,3.0840,0x000e,1.5375,0x0a,30,0x00000035,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,166.3462,1,0x000e,3.0840,0x000e,1.5375,0x0a,30,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,189.8237,1,0x000e,3.0840,0x000e,1.5375,0x0e,40,0x00000016,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,166.3462,1,0x000e,3.0840,0x000e,1.5375,0x0e,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,189.8237,1,0x000e,3.0840,0x000e,1.5375,0x13,55,0x00000004,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,166.3462,1,0x000e,3.0840,0x000e,1.5375,0x13,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,198.8782,1,0x000e,3.0840,0x000f,1.5375,0x07,20,0x0000004c,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,173.7981,1,0x000e,3.0840,0x000f,1.5375,0x07,20,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,198.8782,1,0x000e,3.0840,0x000f,1.5375,0x08,25,0x0000002b,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,173.7981,1,0x000e,3.0840,0x000f,1.5375,0x08,25,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,198.8782,1,0x000e,3.0840,0x000f,1.5375,0x0a,30,0x00000013,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,173.7981,1,0x000e,3.0840,0x000f,1.5375,0x0a,30,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,198.8782,1,0x000e,3.0840,0x000f,1.5375,0x0e,40,0x0000000b,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,173.7981,1,0x000e,3.0840,0x000f,1.5375,0x0e,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,198.8782,1,0x000e,3.0840,0x000f,1.5375,0x13,55,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,173.7981,1,0x000e,3.0840,0x000f,1.5375,0x13,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,194.5513,1,0x000e,3.0840,0x0010,1.5380,0x07,20,0x00000030,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,175.1602,1,0x000e,3.0840,0x0010,1.5380,0x07,20,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,194.5513,1,0x000e,3.0840,0x0010,1.5380,0x08,25,0x0000001d,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,175.1602,1,0x000e,3.0840,0x0010,1.5380,0x08,25,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
